name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
"Abakanowicz, Magdalena",Female,born 1930,1930,9999,Polska,Missing,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093
"Abbey, Edwin Austin",Male,1852–1911,1852,1911,"Philadelphia, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
"Abbott, Berenice",Female,1898–1991,1898,1991,"Springfield, United States","Monson, United States",http://www.tate.org.uk/art/artists/berenice-abbott-2756
"Abbott, Lemuel Francis",Male,1760–1803,1760,1803,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
"Abrahams, Ivor",Male,born 1935,1935,9999,"Wigan, United Kingdom",Missing,http://www.tate.org.uk/art/artists/ivor-abrahams-622
Absalon,Male,1964–1993,1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France",http://www.tate.org.uk/art/artists/absalon-2606
"Abts, Tomma",Female,born 1967,1967,9999,"Kiel, Deutschland",Missing,http://www.tate.org.uk/art/artists/tomma-abts-9550
"Acconci, Vito",Male,born 1940,1940,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/vito-acconci-623
"Ackling, Roger",Male,1947–2014,1947,2014,"Isleworth, United Kingdom",Missing,http://www.tate.org.uk/art/artists/roger-ackling-624
"Ackroyd, Norman",Male,born 1938,1938,9999,"Leeds, United Kingdom",Missing,http://www.tate.org.uk/art/artists/norman-ackroyd-625
"Adam, Robert",Male,1728–1792,1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-adam-2411
"Adams, Harry William",Male,1868–1947,1868,1947,"Worcester, United Kingdom","Worcester, United Kingdom",http://www.tate.org.uk/art/artists/harry-william-adams-626
"Adams, Norman",Male,1927–2005,1927,2005,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/norman-adams-627
"Adams, Robert",Male,1917–1984,1917,1984,"Northampton, United Kingdom",Missing,http://www.tate.org.uk/art/artists/robert-adams-628
"Adeney, Bernard",Male,1878–1966,1878,1966,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/bernard-adeney-629
"Adler, Jankel",Male,1895–1949,1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/jankel-adler-630
"Adshead, Mary",Female,1904–1995,1904,1995,"London, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/mary-adshead-2608
"Adzak, Roy",Male,1927–1987,1927,1987,"Reading, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/roy-adzak-631
Afro,Male,1912–1976,1912,1976,"Udine, Italia","Zürich, Schweiz",http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
"Agar, Eileen",Female,1899–1991,1899,1991,"Ayacucho, Argentina","London, United Kingdom",http://www.tate.org.uk/art/artists/eileen-agar-633
"Agasse, Jacques Laurent",Male,1767–1849,1767,1849,"Genève, Schweiz","London, United Kingdom",http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
"Ahtila, Eija-Liisa",Female,born 1959,1959,9999,"Hämeenlinna, Suomi",Missing,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098
"Ai, Weiwei",Male,born 1957,1957,9999,"Beijing, Zhonghua",Missing,http://www.tate.org.uk/art/artists/ai-weiwei-8208
"Aitchison, Craigie",Male,1926–2009,1926,2009,"Edinburgh, United Kingdom",Missing,http://www.tate.org.uk/art/artists/craigie-aitchison-634
"Ajmone, Giuseppe",Male,1923–2005,1923,2005,"Carpignano Sesia, Italia",Missing,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635
"Aksel, Erdag",Male,born 1953,1953,9999,"Izmir, Türkiye",Missing,http://www.tate.org.uk/art/artists/erdag-aksel-14744
"Al-Ani, Jananne",Female,born 1966,1966,9999,"Kirkuk, Al-‘Iraq",Missing,http://www.tate.org.uk/art/artists/jananne-al-ani-7794
"Albers, Anni",Female,1899–1994,1899,1994,"Berlin, Deutschland","Orange, United States",http://www.tate.org.uk/art/artists/anni-albers-3067
"Albers, Josef",Male,1888–1976,1888,1976,"Bottrop, Deutschland","New Haven, United States",http://www.tate.org.uk/art/artists/josef-albers-636
"Albright, Ivan",Male,1897–1983,1897,1983,"Chicago, United States","Woodstock, United States",http://www.tate.org.uk/art/artists/ivan-albright-637
"Aldridge, John",Male,1905–1983,1905,1983,"Greenwich, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-aldridge-638
"Alechinsky, Pierre",Male,born 1927,1927,9999,"Bruxelles, België",Missing,http://www.tate.org.uk/art/artists/pierre-alechinsky-639
"Alexander, Edwin",Male,1870–1926,1870,1926,"Edinburgh, United Kingdom","Musselburgh, United Kingdom",http://www.tate.org.uk/art/artists/edwin-alexander-640
"Alexander, William",Male,1767–1816,1767,1816,"Maidstone, United Kingdom","Maidstone, United Kingdom",http://www.tate.org.uk/art/artists/william-alexander-2470
"Alimpiev, Victor",Male,born 1973,1973,9999,"Moskva, Rossiya",Missing,http://www.tate.org.uk/art/artists/victor-alimpiev-11315
Alken Family,Male,1756 –1894,1756,1894,Missing,Missing,http://www.tate.org.uk/art/artists/alken-family-2472
"Alken, Henry Thomas",Male,1785–1851,1785,1851,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-thomas-alken-3
"Alken, Samuel, Senior",Male,1756–1815,1756,1815,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/samuel-alken-senior-2471
"Allan, David",Male,1744–1796,1744,1796,"Alloa, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/david-allan-2473
"Allan, Julian Phelps",Female,1892–1996,1892,1996,"Southampton, United Kingdom",Missing,http://www.tate.org.uk/art/artists/julian-phelps-allan-641
"Allan, Sir William",Male,1782–1850,1782,1850,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-allan-4
"Allen, George Warner",Male,1916–1988,1916,1988,"Paris, France","Wallingford, United Kingdom",http://www.tate.org.uk/art/artists/george-warner-allen-2304
"Allen, Joseph William",Male,1803–1852,1803,1852,"Lambeth, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/joseph-william-allen-5
